
2025-06-27 10:38:31 - Current Artist MP3 not found: 'Rav Yissocher Frand', Source FILENAME: 'G:\Shiurim\R Yissocher Frand\Mishnayos\Berachos\ברכות פרק ד, Masechet Berachos, Sefer משניות, Chapter 4 - Harav Yissochor Frand M.mp3'
2025-06-27 14:39:03 - Current Artist MP3 not found: 'R Yisroel Belsky', Source FILENAME: 'G:\Music\FROM NOSSON\Rav Yisroel Belsky\Shimru Shabsosai Composed by Rav Yisroel Belsky Z”TL M.mp3'
2025-06-27 16:03:52 - Current Artist MP3 not found: 'Rav Yosef C. Jacobovitz', Source FILENAME: 'G:\Shiurim\BMG\R' Yosef Chananya Jacobovits\R' Yosef C. Jacobovits Hilchos Shabbos Winter 5783\R' Yosef C. Jacobovits Hilchos Shabbos Winter 5783 #3 M1.mp3'
2025-06-29 10:19:54 - Current Artist MP3 not found: 'R shushan', Source FILENAME: 'G:\Music\Approved 10 teives from C documents\Approved 10 teives 5783 NIGGUNIM 6\R shushan\Vinireihu bishuvo el naveihu.mp3'
2025-06-29 12:11:15 - Current Artist MP3 not found: 'Rav Sipper', Source FILENAME: 'G:\Shiurim\R Sipper\20220214 Rabbi Y Sipper - Shoftim H.mp3'
2025-06-29 22:54:19 - Current Artist MP3 not found: 'R Yisroel Glustien', Source FILENAME: 'G:\Shiurim\Random Rabanim Temperary Folder\R Yisroel Glustien\New Rabbi G!(130)\רב גלושטיין\M המאמין בה' יכול לעמוד בכל נסיון - יש לו דעה עצמית - תשע''ג.mp3'
2025-06-30 01:28:46 - Current Artist MP3 not found: 'Rav Mordechai Lebhar', Source FILENAME: 'G:\Shiurim\R Mordechai Lebhar\R' Mordechai Lebhar - Netilat Yadayim With Wine, Coke and Other Liquids  M.mp3'
2025-07-01 01:59:39 - Current Artist MP3 not found: 'R shay tahan', Source FILENAME: 'G:\Music\Approved 10 teives from C documents\approved 10 teives 33 5782 shiurim\R shay tahan eating bread from certain people can give them control over you M.mp3'
2025-07-01 06:19:58 - Current Artist MP3 not found: 'Rabbis Sons', Source FILENAME: 'G:\Music\all 10 Teves music\Rabbis sons\Rabbis Sons-Greatest Hits-01-Halelu ID2835.mp3'
2025-07-01 06:23:04 - Current Artist MP3 not found: 'Rav Menache Chofets chaim', Source FILENAME: 'G:\Shiurim\Random Rabanim Temperary Folder\R Menache Chofets chaim New Av 5784\7 Power of Giving In H.MP3'
